"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0X240","2020-02-07 00:00:00","394.000","173.000","0.600","14.000","0.960","975.100","","0.000","-99.000","-99.000","-99.000","20.300","","11.800",""
"C0S990","2020-02-07 00:00:00","409.000","346.000","1.700","19.100","0.840","973.900","","0.000","-99.000","-99.000","-99.000","20.300","","16.300",""
"C0E850","2020-02-07 00:00:00","104.000","294.000","0.300","16.200","0.950","1008.300","","0.000","-99.000","-99.000","-99.000","24.100","","9.300",""
"C0T9B0","2020-02-07 00:00:00","558.000","284.000","1.600","15.700","0.860","957.200","","0.000","-99.000","-99.000","-99.000","19.500","","12.800",""
"C0G650","2020-02-07 00:00:00","34.000","0.000","0.000","17.800","0.990","1016.200","","0.000","-99.000","-99.000","-99.000","25.800","","12.700",""
"C0K580","2020-02-07 00:00:00","26.000","357.000","1.500","16.600","0.990","1018.600","","0.000","-99.000","-99.000","-99.000","23.500","","12.300",""
"C0X050","2020-02-07 00:00:00","25.000","33.000","2.200","17.300","0.990","1016.000","","0.000","-99.000","-99.000","-99.000","24.000","","12.300",""
"CM0100","2020-02-07 00:00:00","25.000","17.000","1.500","17.000","0.830","1017.900","","0.000","-99.000","-99.000","-99.000","25.200","","16.000",""
"C0Z220","2020-02-07 00:00:00","589.000","275.000","1.700","14.400","1.000","954.300","","0.000","-99.000","-99.000","-99.000","17.200","","12.100",""
"C0D560","2020-02-07 00:00:00","147.000","301.000","3.100","16.600","0.900","1004.000","","0.000","-99.000","-99.000","-99.000","26.600","","15.000",""
"C0I380","2020-02-07 00:00:00","258.000","0.000","0.200","16.000","0.990","989.500","","0.000","-99.000","-99.000","-99.000","23.500","","11.700",""
"C0Z020","2020-02-07 00:00:00","211.000","163.000","0.900","16.400","0.990","995.300","","0.000","-99.000","-99.000","-99.000","23.200","","14.200",""
"C0Z190","2020-02-07 00:00:00","62.000","311.000","1.300","18.400","0.970","1012.400","","0.000","-99.000","-99.000","-99.000","21.400","","16.300",""
